Age,Tm,Lg,G_reg,W_reg,L_reg,W/L%_reg,W > .500,Finish,G_playoff,W_playoff,L_playoff,W/L%_playoff,Notes,coachName,coach_id,seasonStartYear,coachType
32.0,SEA,NBA,82.0,36.0,46.0,0.439,-5.0,5.0,,,,,,Lenny Wilkens,1,1969,Head Coach
33.0,SEA,NBA,82.0,38.0,44.0,0.463,-3.0,4.0,,,,,,Lenny Wilkens,1,1970,Head Coach
34.0,SEA,NBA,82.0,47.0,35.0,0.573,6.0,3.0,,,,,,Lenny Wilkens,1,1971,Head Coach
37.0,POR,NBA,82.0,38.0,44.0,0.463,-3.0,3.0,,,,,,Lenny Wilkens,1,1974,Head Coach
38.0,POR,NBA,82.0,37.0,45.0,0.451,-4.0,5.0,,,,,,Lenny Wilkens,1,1975,Head Coach
40.0,SEA,NBA,60.0,42.0,18.0,0.7,12.0,3.0,22.0,13.0,9.0,0.591,WC Champions,Lenny Wilkens,1,1977,Head Coach
41.0,SEA,NBA,82.0,52.0,30.0,0.634,11.0,1.0,17.0,12.0,5.0,0.706,NBA Champions,Lenny Wilkens,1,1978,Head Coach
42.0,SEA,NBA,82.0,56.0,26.0,0.683,15.0,2.0,15.0,7.0,8.0,0.467,,Lenny Wilkens,1,1979,Head Coach
43.0,SEA,NBA,82.0,34.0,48.0,0.415,-7.0,6.0,,,,,,Lenny Wilkens,1,1980,Head Coach
44.0,SEA,NBA,82.0,52.0,30.0,0.634,11.0,2.0,8.0,3.0,5.0,0.375,,Lenny Wilkens,1,1981,Head Coach
45.0,SEA,NBA,82.0,48.0,34.0,0.585,7.0,3.0,2.0,0.0,2.0,0.0,,Lenny Wilkens,1,1982,Head Coach
46.0,SEA,NBA,82.0,42.0,40.0,0.512,1.0,3.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1983,Head Coach
47.0,SEA,NBA,82.0,31.0,51.0,0.378,-10.0,4.0,,,,,,Lenny Wilkens,1,1984,Head Coach
49.0,CLE,NBA,82.0,31.0,51.0,0.378,-10.0,6.0,,,,,,Lenny Wilkens,1,1986,Head Coach
50.0,CLE,NBA,82.0,42.0,40.0,0.512,1.0,5.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1987,Head Coach
51.0,CLE,NBA,82.0,57.0,25.0,0.695,16.0,2.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1988,Head Coach
52.0,CLE,NBA,82.0,42.0,40.0,0.512,1.0,4.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1989,Head Coach
53.0,CLE,NBA,82.0,33.0,49.0,0.402,-8.0,6.0,,,,,,Lenny Wilkens,1,1990,Head Coach
54.0,CLE,NBA,82.0,57.0,25.0,0.695,16.0,2.0,17.0,9.0,8.0,0.529,,Lenny Wilkens,1,1991,Head Coach
55.0,CLE,NBA,82.0,54.0,28.0,0.659,13.0,2.0,9.0,3.0,6.0,0.333,,Lenny Wilkens,1,1992,Head Coach
56.0,ATL,NBA,82.0,57.0,25.0,0.695,16.0,1.0,11.0,5.0,6.0,0.455,,Lenny Wilkens,1,1993,Head Coach
57.0,ATL,NBA,82.0,42.0,40.0,0.512,1.0,5.0,3.0,0.0,3.0,0.0,,Lenny Wilkens,1,1994,Head Coach
58.0,ATL,NBA,82.0,46.0,36.0,0.561,5.0,4.0,10.0,4.0,6.0,0.4,,Lenny Wilkens,1,1995,Head Coach
59.0,ATL,NBA,82.0,56.0,26.0,0.683,15.0,2.0,10.0,4.0,6.0,0.4,,Lenny Wilkens,1,1996,Head Coach
60.0,ATL,NBA,82.0,50.0,32.0,0.61,9.0,4.0,4.0,1.0,3.0,0.25,,Lenny Wilkens,1,1997,Head Coach
61.0,ATL,NBA,50.0,31.0,19.0,0.62,6.0,2.0,9.0,3.0,6.0,0.333,,Lenny Wilkens,1,1998,Head Coach
62.0,ATL,NBA,82.0,28.0,54.0,0.341,-13.0,7.0,,,,,,Lenny Wilkens,1,1999,Head Coach
63.0,TOR,NBA,82.0,47.0,35.0,0.573,6.0,2.0,12.0,6.0,6.0,0.5,,Lenny Wilkens,1,2000,Head Coach
64.0,TOR,NBA,82.0,42.0,40.0,0.512,1.0,3.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,2001,Head Coach
65.0,TOR,NBA,82.0,24.0,58.0,0.293,-17.0,7.0,,,,,,Lenny Wilkens,1,2002,Head Coach
66.0,NYK,NBA,42.0,23.0,19.0,0.548,2.0,3.0,4.0,0.0,4.0,0.0,,Lenny Wilkens,1,2003,Head Coach
67.0,NYK,NBA,39.0,17.0,22.0,0.436,-2.5,5.0,,,,,,Lenny Wilkens,1,2004,Head Coach
45.0,BOS,NBA,82.0,33.0,49.0,0.402,-8.0,5.0,,,,,,M.L. Carr,2,1995,Head Coach
46.0,BOS,NBA,82.0,15.0,67.0,0.183,-26.0,7.0,,,,,,M.L. Carr,2,1996,Head Coach
30.0,BOS,NBA,68,27,41,.397,-7.0,5,,,,,,Dave Cowens,3,1978,Head Coach
48.0,CHH,NBA,82,54,28,.659,13.0,4,3,0,3,.000,,Dave Cowens,3,1996,Head Coach
49.0,CHH,NBA,82,51,31,.622,10.0,3,9,4,5,.444,,Dave Cowens,3,1997,Head Coach
50.0,CHH,NBA,15,4,11,.267,-3.5,5,,,,,,Dave Cowens,3,1998,Head Coach
52.0,GSW,NBA,82,17,65,.207,-24.0,7,,,,,,Dave Cowens,3,2000,Head Coach
53.0,GSW,NBA,23,8,15,.348,-3.5,7,,,,,,Dave Cowens,3,2001,Head Coach
44.0,CHI,NBA,82,55,27,.671,14.0,2,16,10,6,.625,,Phil Jackson,4,1989,Head Coach
45.0,CHI,NBA,82,61,21,.744,20.0,1,17,15,2,.882,NBA Champions,Phil Jackson,4,1990,Head Coach
46.0,CHI,NBA,82,67,15,.817,26.0,1,22,15,7,.682,NBA Champions,Phil Jackson,4,1991,Head Coach
47.0,CHI,NBA,82,57,25,.695,16.0,1,19,15,4,.789,NBA Champions,Phil Jackson,4,1992,Head Coach
48.0,CHI,NBA,82,55,27,.671,14.0,2,10,6,4,.600,,Phil Jackson,4,1993,Head Coach
49.0,CHI,NBA,82,47,35,.573,6.0,3,10,5,5,.500,,Phil Jackson,4,1994,Head Coach
50.0,CHI,NBA,82,72,10,.878,31.0,1,18,15,3,.833,NBA Champions,Phil Jackson,4,1995,Head Coach
51.0,CHI,NBA,82,69,13,.841,28.0,1,19,15,4,.789,NBA Champions,Phil Jackson,4,1996,Head Coach
52.0,CHI,NBA,82,62,20,.756,21.0,1,21,15,6,.714,NBA Champions,Phil Jackson,4,1997,Head Coach
54.0,LAL,NBA,82,67,15,.817,26.0,1,23,15,8,.652,NBA Champions,Phil Jackson,4,1999,Head Coach
55.0,LAL,NBA,82,56,26,.683,15.0,1,16,15,1,.938,NBA Champions,Phil Jackson,4,2000,Head Coach
56.0,LAL,NBA,82,58,24,.707,17.0,2,19,15,4,.789,NBA Champions,Phil Jackson,4,2001,Head Coach
57.0,LAL,NBA,82,50,32,.610,9.0,2,12,6,6,.500,,Phil Jackson,4,2002,Head Coach
58.0,LAL,NBA,82,56,26,.683,15.0,1,22,13,9,.591,WC Champions,Phil Jackson,4,2003,Head Coach
60.0,LAL,NBA,82,45,37,.549,4.0,3,7,3,4,.429,,Phil Jackson,4,2005,Head Coach
61.0,LAL,NBA,82,42,40,.512,1.0,2,5,1,4,.200,,Phil Jackson,4,2006,Head Coach
62.0,LAL,NBA,82,57,25,.695,16.0,1,21,14,7,.667,WC Champions,Phil Jackson,4,2007,Head Coach
63.0,LAL,NBA,82,65,17,.793,24.0,1,23,16,7,.696,NBA Champions,Phil Jackson,4,2008,Head Coach
64.0,LAL,NBA,82,57,25,.695,16.0,1,23,16,7,.696,NBA Champions,Phil Jackson,4,2009,Head Coach
65.0,LAL,NBA,82,57,25,.695,16.0,1,10,4,6,.400,,Phil Jackson,4,2010,Head Coach
33.0,ATL,NBA,3,0,3,.000,-1.5,4,,,,,,Mike Fratello,5,1980,Head Coach
36.0,ATL,NBA,82,40,42,.488,-1.0,3,5,2,3,.400,,Mike Fratello,5,1983,Head Coach
37.0,ATL,NBA,82,34,48,.415,-7.0,5,,,,,,Mike Fratello,5,1984,Head Coach
38.0,ATL,NBA,82,50,32,.610,9.0,2,9,4,5,.444,,Mike Fratello,5,1985,Head Coach
39.0,ATL,NBA,82,57,25,.695,16.0,1,9,4,5,.444,,Mike Fratello,5,1986,Head Coach
40.0,ATL,NBA,82,50,32,.610,9.0,3,12,6,6,.500,,Mike Fratello,5,1987,Head Coach
41.0,ATL,NBA,82,52,30,.634,11.0,3,5,2,3,.400,,Mike Fratello,5,1988,Head Coach
42.0,ATL,NBA,82,41,41,.500,0.0,6,,,,,,Mike Fratello,5,1989,Head Coach
46.0,CLE,NBA,82,47,35,.573,6.0,4,3,0,3,.000,,Mike Fratello,5,1993,Head Coach
47.0,CLE,NBA,82,43,39,.524,2.0,4,4,1,3,.250,,Mike Fratello,5,1994,Head Coach
48.0,CLE,NBA,82,47,35,.573,6.0,3,3,0,3,.000,,Mike Fratello,5,1995,Head Coach
49.0,CLE,NBA,82,42,40,.512,1.0,5,,,,,,Mike Fratello,5,1996,Head Coach
50.0,CLE,NBA,82,47,35,.573,6.0,5,4,1,3,.250,,Mike Fratello,5,1997,Head Coach
51.0,CLE,NBA,50,22,28,.440,-3.0,7,,,,,,Mike Fratello,5,1998,Head Coach
57.0,MEM,NBA,66,40,26,.606,7.0,4,4,0,4,.000,,Mike Fratello,5,2004,Head Coach
58.0,MEM,NBA,82,49,33,.598,8.0,3,4,0,4,.000,,Mike Fratello,5,2005,Head Coach
59.0,MEM,NBA,30,6,24,.200,-9.0,5,,,,,,Mike Fratello,5,2006,Head Coach
47.0,DAL,NBA,82,24,58,.293,-17.0,4,,,,,,Jim Cleamons,6,1996,Head Coach
48.0,DAL,NBA,16,4,12,.250,-4.0,5,,,,,,Jim Cleamons,6,1997,Head Coach
41.0,SEA,NBA,82,31,51,.378,-10.0,5,,,,,,Bernie Bickerstaff,7,1985,Head Coach
42.0,SEA,NBA,82,39,43,.476,-2.0,4,14,7,7,.500,,Bernie Bickerstaff,7,1986,Head Coach
43.0,SEA,NBA,82,44,38,.537,3.0,3,5,2,3,.400,,Bernie Bickerstaff,7,1987,Head Coach
44.0,SEA,NBA,82,47,35,.573,6.0,3,8,3,5,.375,,Bernie Bickerstaff,7,1988,Head Coach
45.0,SEA,NBA,82,41,41,.500,0.0,4,,,,,,Bernie Bickerstaff,7,1989,Head Coach
50.0,DEN,NBA,32,20,12,.625,4.0,4,3,0,3,.000,,Bernie Bickerstaff,7,1994,Head Coach
51.0,DEN,NBA,82,35,47,.427,-6.0,4,,,,,,Bernie Bickerstaff,7,1995,Head Coach
52.0,DEN,NBA,13,4,9,.308,-2.5,5,,,,,,Bernie Bickerstaff,7,1996,Head Coach
52.0,WSB,NBA,35,22,13,.629,4.5,4,3,0,3,.000,,Bernie Bickerstaff,7,1996,Head Coach
53.0,WAS,NBA,82,42,40,.512,1.0,4,,,,,,Bernie Bickerstaff,7,1997,Head Coach
54.0,WAS,NBA,32,13,19,.406,-3.0,6,,,,,,Bernie Bickerstaff,7,1998,Head Coach
60.0,CHA,NBA,82,18,64,.220,-23.0,4,,,,,,Bernie Bickerstaff,7,2004,Head Coach
61.0,CHA,NBA,82,26,56,.317,-15.0,4,,,,,,Bernie Bickerstaff,7,2005,Head Coach
62.0,CHA,NBA,82,33,49,.402,-8.0,4,,,,,,Bernie Bickerstaff,7,2006,Head Coach
68.0,LAL,NBA,5,4,1,.800,1.5,3,,,,,,Bernie Bickerstaff,7,2012,Head Coach
37.0,CHI,NBA,82.0,33.0,49.0,0.402,-8.0,5.0,,,,,,Dick Motta,8,1968,Head Coach
38.0,CHI,NBA,82.0,39.0,43.0,0.476,-2.0,3.0,5.0,1.0,4.0,0.2,,Dick Motta,8,1969,Head Coach
39.0,CHI,NBA,82.0,51.0,31.0,0.622,10.0,2.0,7.0,3.0,4.0,0.429,,Dick Motta,8,1970,Head Coach
40.0,CHI,NBA,82.0,57.0,25.0,0.695,16.0,2.0,4.0,0.0,4.0,0.0,,Dick Motta,8,1971,Head Coach
41.0,CHI,NBA,82.0,51.0,31.0,0.622,10.0,2.0,7.0,3.0,4.0,0.429,,Dick Motta,8,1972,Head Coach
42.0,CHI,NBA,82.0,54.0,28.0,0.659,13.0,2.0,11.0,4.0,7.0,0.364,,Dick Motta,8,1973,Head Coach
43.0,CHI,NBA,82.0,47.0,35.0,0.573,6.0,1.0,13.0,7.0,6.0,0.538,,Dick Motta,8,1974,Head Coach
44.0,CHI,NBA,82.0,24.0,58.0,0.293,-17.0,4.0,,,,,,Dick Motta,8,1975,Head Coach
45.0,WSB,NBA,82.0,48.0,34.0,0.585,7.0,2.0,9.0,4.0,5.0,0.444,,Dick Motta,8,1976,Head Coach
46.0,WSB,NBA,82.0,44.0,38.0,0.537,3.0,2.0,21.0,14.0,7.0,0.667,NBA Champions,Dick Motta,8,1977,Head Coach
47.0,WSB,NBA,82.0,54.0,28.0,0.659,13.0,1.0,19.0,9.0,10.0,0.474,EC Champions,Dick Motta,8,1978,Head Coach
48.0,WSB,NBA,82.0,39.0,43.0,0.476,-2.0,3.0,2.0,0.0,2.0,0.0,,Dick Motta,8,1979,Head Coach
49.0,DAL,NBA,82.0,15.0,67.0,0.183,-26.0,6.0,,,,,,Dick Motta,8,1980,Head Coach
50.0,DAL,NBA,82.0,28.0,54.0,0.341,-13.0,5.0,,,,,,Dick Motta,8,1981,Head Coach
51.0,DAL,NBA,82.0,38.0,44.0,0.463,-3.0,4.0,,,,,,Dick Motta,8,1982,Head Coach
52.0,DAL,NBA,82.0,43.0,39.0,0.524,2.0,2.0,10.0,4.0,6.0,0.4,,Dick Motta,8,1983,Head Coach
53.0,DAL,NBA,82.0,44.0,38.0,0.537,3.0,3.0,4.0,1.0,3.0,0.25,,Dick Motta,8,1984,Head Coach
54.0,DAL,NBA,82.0,44.0,38.0,0.537,3.0,3.0,10.0,5.0,5.0,0.5,,Dick Motta,8,1985,Head Coach
55.0,DAL,NBA,82.0,55.0,27.0,0.671,14.0,1.0,4.0,1.0,3.0,0.25,,Dick Motta,8,1986,Head Coach
58.0,SAC,NBA,54.0,16.0,38.0,0.296,-11.0,7.0,,,,,,Dick Motta,8,1989,Head Coach
59.0,SAC,NBA,82.0,25.0,57.0,0.305,-16.0,7.0,,,,,,Dick Motta,8,1990,Head Coach
60.0,SAC,NBA,25.0,7.0,18.0,0.28,-5.5,7.0,,,,,,Dick Motta,8,1991,Head Coach
63.0,DAL,NBA,82.0,36.0,46.0,0.439,-5.0,5.0,,,,,,Dick Motta,8,1994,Head Coach
64.0,DAL,NBA,82.0,26.0,56.0,0.317,-15.0,6.0,,,,,,Dick Motta,8,1995,Head Coach
65.0,DEN,NBA,69.0,17.0,52.0,0.246,-17.5,5.0,,,,,,Dick Motta,8,1996,Head Coach
35.0,CHI,NBA,82.0,40.0,42.0,0.488,-1.0,5.0,3.0,0.0,3.0,0.0,,Doug Collins,9,1986,Head Coach
36.0,CHI,NBA,82.0,50.0,32.0,0.61,9.0,2.0,10.0,4.0,6.0,0.4,,Doug Collins,9,1987,Head Coach
37.0,CHI,NBA,82.0,47.0,35.0,0.573,6.0,5.0,17.0,9.0,8.0,0.529,,Doug Collins,9,1988,Head Coach
44.0,DET,NBA,82.0,46.0,36.0,0.561,5.0,5.0,3.0,0.0,3.0,0.0,,Doug Collins,9,1995,Head Coach
45.0,DET,NBA,82.0,54.0,28.0,0.659,13.0,3.0,5.0,2.0,3.0,0.4,,Doug Collins,9,1996,Head Coach
46.0,DET,NBA,45.0,21.0,24.0,0.467,-1.5,6.0,,,,,,Doug Collins,9,1997,Head Coach
50.0,WAS,NBA,82.0,37.0,45.0,0.451,-4.0,5.0,,,,,,Doug Collins,9,2001,Head Coach
51.0,WAS,NBA,82.0,37.0,45.0,0.451,-4.0,5.0,,,,,,Doug Collins,9,2002,Head Coach
59.0,PHI,NBA,82.0,41.0,41.0,0.5,0.0,3.0,5.0,1.0,4.0,0.2,,Doug Collins,9,2010,Head Coach
60.0,PHI,NBA,66.0,35.0,31.0,0.53,2.0,3.0,13.0,7.0,6.0,0.538,,Doug Collins,9,2011,Head Coach
61.0,PHI,NBA,82.0,34.0,48.0,0.415,-7.0,4.0,,,,,,Doug Collins,9,2012,Head Coach
42.0,POR,NBA,35,14,21,.400,-3.5,5,3,0,3,.000,,Rick Adelman,10,1988,Head Coach
43.0,POR,NBA,82,59,23,.720,18.0,2,21,12,9,.571,WC Champions,Rick Adelman,10,1989,Head Coach
44.0,POR,NBA,82,63,19,.768,22.0,1,16,9,7,.563,,Rick Adelman,10,1990,Head Coach
45.0,POR,NBA,82,57,25,.695,16.0,1,21,13,8,.619,WC Champions,Rick Adelman,10,1991,Head Coach
46.0,POR,NBA,82,51,31,.622,10.0,3,4,1,3,.250,,Rick Adelman,10,1992,Head Coach
47.0,POR,NBA,82,47,35,.573,6.0,4,4,1,3,.250,,Rick Adelman,10,1993,Head Coach
49.0,GSW,NBA,82,36,46,.439,-5.0,6,,,,,,Rick Adelman,10,1995,Head Coach
50.0,GSW,NBA,82,30,52,.366,-11.0,7,,,,,,Rick Adelman,10,1996,Head Coach
52.0,SAC,NBA,50,27,23,.540,2.0,4,5,2,3,.400,,Rick Adelman,10,1998,Head Coach
53.0,SAC,NBA,82,44,38,.537,3.0,5,5,2,3,.400,,Rick Adelman,10,1999,Head Coach
54.0,SAC,NBA,82,55,27,.671,14.0,2,8,3,5,.375,,Rick Adelman,10,2000,Head Coach
55.0,SAC,NBA,82,61,21,.744,20.0,1,16,10,6,.625,,Rick Adelman,10,2001,Head Coach
56.0,SAC,NBA,82,59,23,.720,18.0,1,12,7,5,.583,,Rick Adelman,10,2002,Head Coach
57.0,SAC,NBA,82,55,27,.671,14.0,2,12,7,5,.583,,Rick Adelman,10,2003,Head Coach
58.0,SAC,NBA,82,50,32,.610,9.0,2,5,1,4,.200,,Rick Adelman,10,2004,Head Coach
59.0,SAC,NBA,82,44,38,.537,3.0,4,6,2,4,.333,,Rick Adelman,10,2005,Head Coach
61.0,HOU,NBA,82,55,27,.671,14.0,3,6,2,4,.333,,Rick Adelman,10,2007,Head Coach
62.0,HOU,NBA,82,53,29,.646,12.0,2,13,7,6,.538,,Rick Adelman,10,2008,Head Coach
63.0,HOU,NBA,82,42,40,.512,1.0,3,,,,,,Rick Adelman,10,2009,Head Coach
64.0,HOU,NBA,82,43,39,.524,2.0,5,,,,,,Rick Adelman,10,2010,Head Coach
65.0,MIN,NBA,66,26,40,.394,-7.0,5,,,,,,Rick Adelman,10,2011,Head Coach
66.0,MIN,NBA,82,31,51,.378,-10.0,5,,,,,,Rick Adelman,10,2012,Head Coach
67.0,MIN,NBA,82,40,42,.488,-1.0,3,,,,,,Rick Adelman,10,2013,Head Coach
43.0,HOU,NBA,30,16,14,.533,1.0,3,,,,,,Rudy Tomjanovich,11,1991,Head Coach
44.0,HOU,NBA,82,55,27,.671,14.0,1,12,6,6,.500,,Rudy Tomjanovich,11,1992,Head Coach
45.0,HOU,NBA,82,58,24,.707,17.0,1,23,15,8,.652,NBA Champions,Rudy Tomjanovich,11,1993,Head Coach
46.0,HOU,NBA,82,47,35,.573,6.0,3,22,15,7,.682,NBA Champions,Rudy Tomjanovich,11,1994,Head Coach
47.0,HOU,NBA,82,48,34,.585,7.0,3,8,3,5,.375,,Rudy Tomjanovich,11,1995,Head Coach
48.0,HOU,NBA,82,57,25,.695,16.0,2,16,9,7,.563,,Rudy Tomjanovich,11,1996,Head Coach
49.0,HOU,NBA,82,41,41,.500,0.0,4,5,2,3,.400,,Rudy Tomjanovich,11,1997,Head Coach
50.0,HOU,NBA,50,31,19,.620,6.0,3,4,1,3,.250,,Rudy Tomjanovich,11,1998,Head Coach
51.0,HOU,NBA,82,34,48,.415,-7.0,6,,,,,,Rudy Tomjanovich,11,1999,Head Coach
52.0,HOU,NBA,82,45,37,.549,4.0,5,,,,,,Rudy Tomjanovich,11,2000,Head Coach
53.0,HOU,NBA,82,28,54,.341,-13.0,5,,,,,,Rudy Tomjanovich,11,2001,Head Coach
54.0,HOU,NBA,82,43,39,.524,2.0,5,,,,,,Rudy Tomjanovich,11,2002,Head Coach
56.0,LAL,NBA,43,24,19,.558,2.5,4,,,,,,Rudy Tomjanovich,11,2004,Head Coach
32.0,CAR,ABA,84.0,57.0,27.0,0.679,15.0,1.0,12.0,7.0,5.0,0.583,,Larry Brown,12,1972,Head Coach
33.0,CAR,ABA,84.0,47.0,37.0,0.56,5.0,3.0,4.0,0.0,4.0,0.0,,Larry Brown,12,1973,Head Coach
34.0,DNA,ABA,84.0,65.0,19.0,0.774,23.0,1.0,13.0,7.0,6.0,0.538,,Larry Brown,12,1974,Head Coach
35.0,DNA,ABA,84.0,60.0,24.0,0.714,18.0,1.0,13.0,6.0,7.0,0.462,,Larry Brown,12,1975,Head Coach
36.0,DEN,NBA,82.0,50.0,32.0,0.61,9.0,1.0,6.0,2.0,4.0,0.333,,Larry Brown,12,1976,Head Coach
37.0,DEN,NBA,82.0,48.0,34.0,0.585,7.0,1.0,13.0,6.0,7.0,0.462,,Larry Brown,12,1977,Head Coach
38.0,DEN,NBA,53.0,28.0,25.0,0.528,1.5,2.0,,,,,,Larry Brown,12,1978,Head Coach
41.0,NJN,NBA,82.0,44.0,38.0,0.537,3.0,3.0,2.0,0.0,2.0,0.0,,Larry Brown,12,1981,Head Coach
42.0,NJN,NBA,76.0,47.0,29.0,0.618,9.0,3.0,,,,,,Larry Brown,12,1982,Head Coach
48.0,SAS,NBA,82.0,21.0,61.0,0.256,-20.0,5.0,,,,,,Larry Brown,12,1988,Head Coach
49.0,SAS,NBA,82.0,56.0,26.0,0.683,15.0,1.0,10.0,6.0,4.0,0.6,,Larry Brown,12,1989,Head Coach
50.0,SAS,NBA,82.0,55.0,27.0,0.671,14.0,1.0,4.0,1.0,3.0,0.25,,Larry Brown,12,1990,Head Coach
51.0,SAS,NBA,38.0,21.0,17.0,0.553,2.0,2.0,,,,,,Larry Brown,12,1991,Head Coach
51.0,LAC,NBA,35.0,23.0,12.0,0.657,5.5,5.0,5.0,2.0,3.0,0.4,,Larry Brown,12,1991,Head Coach
52.0,LAC,NBA,82.0,41.0,41.0,0.5,0.0,4.0,5.0,2.0,3.0,0.4,,Larry Brown,12,1992,Head Coach
53.0,IND,NBA,82.0,47.0,35.0,0.573,6.0,3.0,16.0,10.0,6.0,0.625,,Larry Brown,12,1993,Head Coach
54.0,IND,NBA,82.0,52.0,30.0,0.634,11.0,1.0,17.0,10.0,7.0,0.588,,Larry Brown,12,1994,Head Coach
55.0,IND,NBA,82.0,52.0,30.0,0.634,11.0,2.0,5.0,2.0,3.0,0.4,,Larry Brown,12,1995,Head Coach
56.0,IND,NBA,82.0,39.0,43.0,0.476,-2.0,6.0,,,,,,Larry Brown,12,1996,Head Coach
57.0,PHI,NBA,82.0,31.0,51.0,0.378,-10.0,7.0,,,,,,Larry Brown,12,1997,Head Coach
58.0,PHI,NBA,50.0,28.0,22.0,0.56,3.0,3.0,8.0,3.0,5.0,0.375,,Larry Brown,12,1998,Head Coach
